品牌,名称,价格,好评,中评,差评,日销量排名
华为（HUAWEI）,华为荣耀V20,2399.00,180000,1700,2200,10
小米（MI）,小米Redmi K20 Pro,2799.00,14000,300,300,4
小米（MI）,小米小米8,2099.00,1060000,6500,7500,999999
华为（HUAWEI）,华为荣耀8X,1199.00,1320000,4200,5100,9
华为（HUAWEI）,华为荣耀10青春版,1099.00,370000,1500,1800,8
华为（HUAWEI）,华为畅享 9S,1399.00,19000,200,400,999999
Apple,AppleiPhone XR,5299.00,830000,5600,11000,1
华为（HUAWEI）,华为荣耀畅玩8C,899.00,350000,1200,1400,999999
Apple,AppleiPhone XS Max,8699.00,480000,2100,4400,2
小米（MI）,小米小米8SE,1249.00,640000,3500,3900,999999
华为（HUAWEI）,华为P30 Pro,5988.00,51000,300,600,5
华为（HUAWEI）,华为荣耀20,2699.00,11000,200,200,3
华为（HUAWEI）,华为P20,2588.00,630000,2200,2600,999999
Apple,AppleiPhone 8,3399.00,1270000,4500,7200,999999
Apple,AppleiPhone 8 Plus,4699.00,1720000,6300,10000,999999
华为（HUAWEI）,华为P30,4288.00,48000,500,600,6
Apple,AppleiPhone X,5899.00,1260000,3700,7000,19
华为（HUAWEI）,华为荣耀20i,1599.00,24000,300,400,999999
OPPO,OPPOK1,1199.00,280000,1400,1900,999999
vivo,vivo iQOO,2998.00,67000,1400,2100,13
小米（MI）,小米红米Note7,1199.00,430000,2600,3300,999999
小米（MI）,小米小米8屏幕指纹版,1999.00,70000,700,900,999999
华为（HUAWEI）,华为荣耀10,1799.00,1140000,6700,6400,20
小米（MI）,小米红米6A,649.00,760000,1800,2100,999999
华为（HUAWEI）,华为荣耀8X Max,1399.00,220000,800,900,999999
小米（MI）,小米6X,999.00,750000,3700,3800,999999
一加,一加7 Pro,4499.00,18000,400,500,999999
vivo,vivoZ3,1248.00,320000,2200,2700,999999
Apple,AppleiPhone7,2799.00,740000,7600,10000,11
华为（HUAWEI）,华为畅享9 Plus,1249.00,260000,900,1100,999999
华为（HUAWEI）,华为nova 2S,1399.00,290000,1400,1500,999999
华为（HUAWEI）,华为畅享9,1199.00,150000,600,600,999999
小米（MI）,小米红米Note7 Pro,1599.00,62000,1100,1400,14
OPPO,OPPOK3,1899.00,14000,200,200,15
华为（HUAWEI）,华为荣耀Play,1699.00,490000,2800,3000,999999
vivo,vivoZ3x,998.00,8800,100,100,999999
华为（HUAWEI）,华为畅享 9e,999.00,5800,50,80,999999
小米（MI）,小米红米7,799.00,44000,400,600,999999
华为（HUAWEI）,华为Mate 20,3999.00,270000,800,1200,999999
小米（MI）,小米小米9SE,1999.00,28000,600,700,999999
华为（HUAWEI）,华为Mate 20 Pro （UD）,5499.00,220000,900,1700,999999
小米（MI）,小米小米9,3299.00,77000,1800,2100,12
华为（HUAWEI）,华为nova 4e,1999.00,20000,200,400,999999
华为（HUAWEI）,华为nova 4,2799.00,91000,500,700,999999
华为（HUAWEI）,华为nova 3i,1599.00,120000,500,600,999999
华为（HUAWEI）,华为荣耀畅玩7,599.00,370000,1100,1200,999999
华为（HUAWEI）,华为P20 Pro,3488.00,350000,1200,1400,999999
华为（HUAWEI）,华为荣耀畅玩8A,799.00,120000,400,400,999999
小米（MI）,小米红米6,669.00,720000,2300,2800,999999
vivo,vivoZ1青春版,1049.00,72000,300,300,999999
小米（MI）,小米小米8青春版,1299.00,260000,1300,1500,999999
Apple,AppleiPhone7 Plus,3899.00,870000,6600,10000,999999
魅族（MEIZU）,魅族16s,2999.00,8200,200,800,18
OPPO,OPPOOPPO R17,1999.00,110000,900,1100,999999
魅族（MEIZU）,魅族 16 X,1598.00,45000,400,400,999999
华为（HUAWEI）,华为荣耀Note10,1899.00,140000,800,800,999999
魅族（MEIZU）,魅族Note9,1199.00,7200,200,200,999999
小米（MI）,小米MIX2S,1999.00,190000,1500,1900,999999
vivo,vivoS1,1998.00,6700,100,100,999999
华为（HUAWEI）,华为荣耀Magic2,2699.00,99000,700,800,999999
